concessionaria,ano,Valor
VIA SUL,2024,609620000.0
ECOVIAS DO CERRADO,2024,362602000.0
VIACOSTEIRA,2024,318453000.0
RIOSP,2024,1723855000.0
ECO RIOMINAS,2024,771877000.0
ECOVIAS DO ARAGUAIA,2024,556736000.0
VIABRASIL,2024,199231000.0
LITORAL PIONEIRO,2024,339645000.0
VIA ARAUCÁRIA,2024,531148000.0
VIA MINEIRA,2024,80768000.0
